City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
432,Cabrobo,BR,89.47,scattered clouds,-8.51,-39.31,Hotel Limarques
433,Vieux-Habitants,GP,86.0,overcast clouds,16.06,-61.77,Gîtes Dardanelle
435,Ugoofaaru,MV,83.57,clear sky,5.67,73.0,Ungoofaaru Inn
439,Karwar,IN,78.64,moderate rain,14.8,74.13,Netalco Connects
441,Alhama De Murcia,ES,82.99,clear sky,37.85,-1.43,Business Taxi Alhama de Murcia
448,Beberibe,BR,82.4,clear sky,-4.18,-38.13,Villa Arte Pousada Morro Branco
451,Las Palmas,ES,80.6,clear sky,28.42,-14.01,Casa el Relajo
455,Gaoua,BF,75.06,clear sky,10.3,-3.25,
460,Koath,IN,82.13,moderate rain,25.32,84.27,Chandana Sweets
463,Westport,US,88.0,clear sky,41.14,-73.36,The Westport Inn
465,Port Blair,IN,82.27,overcast clouds,11.67,92.75,Fortune Resort Bay Island
466,Dhola,IN,79.45,light rain,21.88,71.78,નિલેશ
467,Oranjestad,AW,86.0,scattered clouds,12.52,-70.03,Divi Village Golf & Beach Resort
468,Cabedelo,BR,78.8,broken clouds,-6.98,-34.83,Lua Mansa Pousada
469,Srivardhan,IN,80.11,light rain,18.03,73.02,Savli Resort/Hotel - Shrivardhan
472,Sabaudia,IT,77.0,clear sky,41.3,13.03,Oasi di Kufra
477,Javanrud,IR,75.2,clear sky,34.8,46.52,هتل چیا
481,Wana,PK,76.96,clear sky,32.3,69.57,Rest House at Wana Camp
485,Sur,OM,81.21,overcast clouds,22.57,59.53,Sur Plaza Hotel
488,Kananga,CD,76.71,scattered clouds,-5.9,22.42,Guest House Wood Land
489,Eirunepe,BR,79.56,clear sky,-6.66,-69.87,Pousada Novo Acre
490,Pedro Ii,BR,89.1,broken clouds,-4.42,-41.46,Opala Hotel Pedro II
494,Fonte Boa,BR,86.34,clear sky,-2.5,-66.27,
497,Kapuskasing,CA,75.2,broken clouds,49.42,-82.43,Park Inn Motel
500,Thinadhoo,MV,83.35,clear sky,0.53,72.93,
507,Two Rivers,US,77.0,clear sky,44.15,-87.57,Lighthouse Inn On Lake Michigan
508,Bonthe,SL,75.74,moderate rain,7.53,-12.51,Bonthe Holiday Village
510,Igurubi,TZ,77.25,overcast clouds,-4.0,33.7,
511,La Seyne-Sur-Mer,FR,84.0,clear sky,43.1,5.88,Zenitude Hôtel-Résidences Toulon Six Fours
513,Kikwit,CD,79.45,overcast clouds,-5.04,18.82,Centre D'Accueil Protestant
514,Corn Island,NI,81.27,clear sky,12.17,-83.04,Big Fish Guest House
517,Williamsburg,US,84.2,clear sky,37.27,-76.71,Comfort Suites Williamsburg Historic Area
518,Myrtle Beach,US,82.99,few clouds,33.69,-78.89,Bay View Resort Myrtle Beach
524,Jaca,ES,75.99,broken clouds,42.57,-0.55,Hotel Real Jaca & Spa
526,Shawville,CA,82.0,clear sky,45.6,-76.48,Shawville Hotel
531,Casablanca,MA,77.0,clear sky,33.59,-7.62,Hotel Moroccan House Casablanca
536,Gazanjyk,TM,78.22,overcast clouds,39.24,55.52,Railway motel
541,Fasa,IR,82.4,few clouds,28.94,53.65,Fasa University Boys' Dormitory
548,Umm Kaddadah,SD,88.16,light rain,13.6,26.69,
549,Manaquiri,BR,84.2,few clouds,-3.32,-60.35,
557,Darnah,LY,79.07,clear sky,32.77,22.64,زاوية الرفاعي
562,Dwarka,IN,82.92,overcast clouds,22.24,68.97,Hotel Narayan Avezika Comfort
563,Barceloneta,PR,77.0,very heavy rain,18.45,-66.54,Manati World Point Inn
567,Pinheiro,BR,82.54,clear sky,-2.52,-45.08,Pousada Bandeirantes
