City_ID,City,Cloudiness,Country,Current Description,Humidity,Lat,Lng,Max Temp,Wind Speed
597,Terra Rica,6,BR,clear sky,61,-22.71,-52.62,62.91,8.12
598,Canavieiras,72,BR,light rain,89,-15.68,-38.95,72.9,10.02
599,Seguela,95,CI,light rain,92,7.96,-6.67,73.24,2.15
600,Djougou,36,BJ,light rain,95,9.71,1.67,72.01,2.62
601,Bonavista,0,CA,clear sky,77,48.65,-53.11,64.99,3.0
602,Umea,90,SE,overcast clouds,93,63.83,20.26,64.4,10.29
603,Axim,23,GH,few clouds,89,4.87,-2.24,75.38,6.46
604,Ambanja,81,MG,light rain,80,-13.68,48.45,72.39,1.16
605,Pontes E Lacerda,73,BR,broken clouds,37,-15.23,-59.34,68.2,5.97
606,Kamenka,76,RU,broken clouds,69,51.32,42.77,57.0,1.99
607,Khandbari,35,NP,scattered clouds,72,27.37,87.2,72.16,0.94
608,West Lafayette,40,US,scattered clouds,48,40.43,-86.91,84.99,5.82
609,Sangueya,100,GN,overcast clouds,89,10.7,-14.37,77.22,3.8
610,Tiznit,73,MA,light rain,27,29.58,-9.5,90.14,1.28
611,Gemena,100,CD,light rain,97,3.25,19.77,70.32,2.55
612,Kwekwe,49,ZW,scattered clouds,66,-18.93,29.81,57.06,6.55
613,Jinka,98,ET,overcast clouds,62,5.65,36.65,69.04,4.45
614,Sladkovo,17,RU,few clouds,97,55.53,70.34,49.84,7.25
615,Rayachoti,100,IN,light rain,75,14.05,78.75,79.07,5.7
616,Safranbolu,0,TR,clear sky,80,41.25,32.69,61.16,1.34
617,Camabatela,80,AO,broken clouds,89,-8.19,15.38,64.51,1.74
618,Dubovskoye,6,RU,clear sky,41,47.41,42.76,63.34,8.08
619,Inta,10,RU,clear sky,93,66.03,60.17,44.76,5.46
620,Kumluca,0,TR,clear sky,37,36.37,30.29,85.17,7.58
621,Laerdalsoyri,93,NO,light rain,67,61.1,7.48,59.25,5.5
622,Isabela,76,PH,broken clouds,80,6.71,121.97,78.53,6.6
623,Ochakiv,3,UA,clear sky,60,46.61,31.55,73.4,11.18
624,Pokhara,35,NP,light rain,84,28.23,83.98,69.62,2.26
625,Iquique,90,CL,overcast clouds,67,-20.22,-70.14,62.6,10.29
626,Panevezys,100,LT,moderate rain,94,55.73,24.35,68.0,4.7
627,Neyshabur,0,IR,clear sky,16,36.21,58.8,80.64,5.86
628,Amot,41,NO,scattered clouds,79,59.57,7.99,59.0,1.99
629,Hauterive,58,FR,broken clouds,53,46.09,3.45,71.6,5.82
630,Aden,99,YE,overcast clouds,67,12.78,45.04,85.87,1.43
631,Camapua,57,BR,broken clouds,28,-19.53,-54.04,71.4,7.61
632,Beverwijk,28,NL,light rain,65,52.48,4.65,66.0,4.0
633,Peoria,1,US,clear sky,51,40.77,-89.77,84.0,10.29
634,Nioro,55,GM,broken clouds,85,13.35,-15.75,78.98,7.02
635,Barabinsk,100,RU,overcast clouds,89,55.36,78.36,53.85,6.26
636,Chimbote,87,PE,overcast clouds,70,-9.09,-78.58,66.29,11.36
637,Mandiana,93,GN,overcast clouds,90,10.63,-8.68,75.16,1.99
638,Damme,28,DE,scattered clouds,80,52.52,8.2,62.01,3.0
639,Maun,82,BW,broken clouds,56,-19.98,23.42,68.0,10.29
640,Puerto Cabezas,75,NI,haze,79,14.04,-83.39,86.0,4.7
