City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
132,Bengkulu,ID,2022-06-11 18:56:16,-3.8004,102.2655,74.86,91,100,6.82
133,Berbera,SO,2022-06-11 18:56:17,10.4396,45.0143,94.26,38,100,6.42
134,Nouadhibou,MR,2022-06-11 18:56:17,20.931,-17.0347,71.58,73,0,25.32
135,Vardo,NO,2022-06-11 18:56:18,70.3705,31.1107,48.18,87,99,2.3
136,Dunedin,NZ,2022-06-11 18:56:18,-45.8742,170.5036,45.81,42,100,11.99
137,Finschhafen,PG,2022-06-11 18:56:19,-6.6024,147.8681,77.7,79,41,4.16
138,Shingu,JP,2022-06-11 18:56:19,33.7333,135.9833,64.24,89,100,4.41
139,Bowen,AU,2022-06-11 18:56:20,-20.0167,148.2333,55.06,68,100,7.02
140,Hermanus,ZA,2022-06-11 18:56:20,-34.4187,19.2345,59.81,45,100,6.93
141,Coahuayana,MX,2022-06-11 18:56:21,18.7333,-103.6833,90.16,56,93,8.14
142,Kaitangata,NZ,2022-06-11 18:56:21,-46.2817,169.8464,39.0,73,100,10.31
143,Marion,US,2022-06-11 18:53:50,39.7684,-86.1555,77.38,68,75,12.66
144,Namibe,AO,2022-06-11 18:56:22,-15.1961,12.1522,71.51,60,0,7.56
145,Homer,US,2022-06-11 18:56:22,59.6425,-151.5483,54.77,74,80,5.99
146,Acapulco,MX,2022-06-11 18:55:21,16.8634,-99.8901,85.86,69,86,9.06
147,Areosa,PT,2022-06-11 18:56:23,41.7178,-8.8571,71.82,75,0,16.26
148,Touros,BR,2022-06-11 18:54:31,-5.1989,-35.4608,82.31,70,65,7.81
149,Niono,ML,2022-06-11 18:56:23,14.2526,-5.993,100.49,17,15,12.48
150,Tual,ID,2022-06-11 18:56:24,-5.6667,132.75,81.86,77,66,5.21
151,Saquena,PE,2022-06-11 18:56:24,-4.6667,-73.5167,78.04,71,100,6.85
152,Carnarvon,AU,2022-06-11 18:56:25,-24.8667,113.6333,70.47,68,0,11.68
153,Moerai,PF,2022-06-11 18:56:25,-22.4333,-151.3333,74.59,64,86,18.7
154,Dargaville,NZ,2022-06-11 18:56:26,-35.9333,173.8833,56.68,90,100,11.54
155,Flinders,AU,2022-06-11 18:56:26,-34.5833,150.8552,53.26,63,0,5.99
156,Sant Julia De Loria,AD,2022-06-11 18:56:27,42.4625,1.4825,74.89,82,22,3.83
157,Freetown,SL,2022-06-11 18:56:27,8.484,-13.2299,85.71,70,75,8.05
158,Vila Do Maio,CV,2022-06-11 18:56:28,15.1333,-23.2167,81.39,83,1,10.85
159,Jining,CN,2022-06-11 18:56:28,35.405,116.5814,75.25,52,100,10.47
160,Erzin,TR,2022-06-11 18:56:29,36.9559,36.2,73.17,71,0,0.47
161,Adamovka,RU,2022-06-11 18:56:29,51.5223,59.9396,59.02,85,6,9.13
162,Sohag,EG,2022-06-11 18:53:11,26.557,31.6948,102.49,12,0,8.28
163,Morehead,US,2022-06-11 18:56:30,37.2711,-87.1764,82.85,52,0,8.05
164,Port-Gentil,GA,2022-06-11 18:56:30,-0.7193,8.7815,76.96,88,20,6.91
165,Victoria,HK,2022-06-11 18:56:00,22.2855,114.1577,80.94,88,97,1.99
166,Qandala,SO,2022-06-11 18:56:31,11.472,49.8728,91.9,51,100,2.28
167,Constitucion,CL,2022-06-11 18:56:32,-35.3333,-72.4167,60.3,45,11,3.06
168,Paraiso,CR,2022-06-11 18:56:32,9.8383,-83.8656,74.26,86,100,2.33
169,Buala,SB,2022-06-11 18:56:33,-8.145,159.5921,78.98,82,100,4.63
170,Clarence Town,AU,2022-06-11 18:56:33,-32.5833,151.7833,50.95,63,0,14.92
171,Tarko-Sale,RU,2022-06-11 18:56:33,64.9225,77.785,58.37,84,100,12.46
172,Nam Som,TH,2022-06-11 18:56:34,17.7704,102.1895,77.32,81,76,1.63
173,Molnlycke,SE,2022-06-11 18:56:34,57.6589,12.1179,61.61,82,20,10.36
174,Mirabad,AF,2022-06-11 18:56:35,30.4362,61.8383,92.44,21,0,23.44
175,Plettenberg Bay,ZA,2022-06-11 18:56:35,-34.0527,23.3716,77.11,23,100,19.55
176,Melfi,IT,2022-06-11 18:56:36,40.9965,15.6514,62.02,72,0,7.31
177,Khatanga,RU,2022-06-11 18:56:36,71.9667,102.5,46.36,66,62,9.55
178,Salym,RU,2022-06-11 18:56:37,60.0625,71.4789,54.95,98,100,3.98
179,Hamilton,US,2022-06-11 18:56:37,39.1834,-84.5333,78.62,66,100,3.0
180,Dekar,BW,2022-06-11 18:56:37,-21.5333,21.9333,55.2,35,0,8.81
